country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Montenegro,1995,8.0,3617026917.411024,5847.622816343752,78.225,70.189,74.109,24.0051569496,66.4895681055,9.5052749449,51.588425354,611712.0,285272.0,46.635
Mongolia,1995,8.636,1452165005.2384,652.6745628491,63.214,58.102,60.612,38.9567220316,57.5422515161,3.5010264523,50.8092382846,2224945.0,961065.0,43.195
Mozambique,1995,18.429,3061646173.73938,191.8260968614,47.579,44.451,46.04,45.0374187147,52.1049192008,2.8576620845,51.6075375697,15960530.0,11572182.0,72.505
Mauritania,1995,9.39,2091726101.43014,904.719170071,61.739,58.765,60.259,44.354280267,52.5909627827,3.0547569503,50.1878230134,2312017.0,1417151.0,61.295
Mauritius,1995,6.7,4094741652.30048,3648.0164962226,74.28,66.56,70.3258536585,27.5103776834,66.6395360317,5.8500862849,49.2622993223,1122457.0,636613.0,56.716
Malawi,1995,20.333,2033701497.9708495,200.3623700072,46.035,41.343,43.641,46.145290739,50.5656141698,3.2890950912,51.3574474068,10150117.0,8803907.0,86.737
Malaysia,1995,4.494,88705342902.71129,4363.1445833303,74.692,70.219,72.384,35.7460209546,60.5610356232,3.6929434222,48.7972365594,20330599.0,9008895.0,44.312
North America,1995,8.6412349585,8247740840061.211,27897.9346077139,79.1109371387,72.7551465733,75.8555067588,21.6546992206,65.984666384,12.3606343953,50.6026659557,295639837.0,67101347.0,22.6969907546
Namibia,1995,9.524,3978514206.31168,2483.2035341516,61.108,56.034,58.634,42.0954885888,54.6372249395,3.2672864717,51.6811574302,1602170.0,1124515.0,70.187
New Caledonia,1995,5.3,3628440505.1419296,18107.8880778022,75.8,68.4,72.0097560976,30.8343959057,64.4941947365,4.6714093578,49.2736264778,200379.0,79575.0,39.712
Niger,1995,20.523,2302537562.24406,237.0199895686,46.154,45.3,45.774,46.6630470022,51.1285493681,2.2084036297,49.7189004222,9714529.0,8182256.0,84.227
Nigeria,1995,18.859,140919776986.364,1271.616173532,47.056,44.004,45.487,44.4019887921,52.5059346995,3.0920765085,50.0679447651,110819428.0,75130031.0,67.795
Nicaragua,1995,6.051,4140470000.0,891.77935231,68.614,62.579,65.608,43.7167491828,53.3160087884,2.9672420288,50.9144116077,4642931.0,2115459.0,45.563
Netherlands,1995,8.8,452967334614.329,29301.1940492376,80.36,74.59,77.4046341463,18.5837710265,68.2690126089,13.1472163646,50.6488325883,15459006.0,4203458.0,27.191
Norway,1995,10.4,152029612324.788,34875.7043347536,80.82,74.8,77.7365853659,19.4827245057,64.5822859296,15.9349895647,50.5524326375,4359184.0,1142673.0,26.213
Nepal,1995,10.11,4401104417.67068,197.8430013303,60.065,58.564,59.318,41.4088119367,54.905508945,3.6856791183,49.3056082193,22245439.0,19824468.0,89.117
Nauru,1995,6.897,39969705.969706,3932.0910939209,65.773,58.425,61.321,41.6646170495,56.5448374244,1.7905455261,48.3864620228,10165.0,0.0,0.0
New Zealand,1995,7.57,63918703506.9075,17400.4201848172,79.5,74.1,76.7341463415,23.0653828208,65.4313317023,11.5032854769,50.7045178188,3673400.0,530696.0,14.447
OECD members,1995,8.4087656525,25683839560032.3,22178.1657532152,79.0325944201,72.2112773904,75.5351947161,22.0016190979,65.9760886997,12.0222922024,50.8223843976,1158068699.0,296715258.0,25.6215591374
Oman,1995,3.549,15722236671.0013,7414.3027920411,74.865,70.108,71.99,39.6656963892,57.9006874469,2.4336161639,40.5378002732,2120528.0,600767.0,28.331
Other small states,1995,9.6382524193,50141711799.7697,5039.977376136,68.4531603996,62.6823933591,65.4305786901,33.6470743371,59.9458846202,6.4070410427,49.7561632876,9948797.0,4715346.0,47.3961514515
Pakistan,1995,10.194,60636071684.1918,450.5502793462,60.391,59.473,59.878,44.476684084,52.0819520684,3.4413638476,48.2790409223,134582253.0,91736647.0,68.164
Panama,1995,5.057,9573813700.0,3513.8973785463,75.656,69.33,72.385,34.2431264973,61.1847907752,4.5720827276,49.6572470314,2724557.0,1140472.0,41.859
Peru,1995,6.294,53312793687.3836,2189.5343151531,70.253,65.176,67.644,37.3842777168,58.863171708,3.7525505752,49.9919031313,24348919.0,7073117.0,29.049
Philippines,1995,5.903,84644328727.4825,1199.8417141499,69.946,66.562,68.223,41.0591652252,56.0690930037,2.8717417711,49.8507567625,70546246.0,37699914.0,53.44
Palau,1995,6.4,121018500.0,7038.0052340797,76.9,67.03,71.8446341463,28.0401279442,66.4001163129,5.5597557429,46.4173548912,17195.0,4912.0,28.569
Papua New Guinea,1995,7.618,4636057476.42568,998.2299673761,63.439,59.212,61.049,41.0048666337,56.6012090577,2.3939243086,47.6221277021,4644278.0,3990317.0,85.919
Poland,1995,10.0,142838527115.448,3700.9595677514,76.4,67.6,71.8926829268,22.8352171022,66.0465213995,11.1182614983,51.4027673276,38594998.0,14861776.0,38.507
Pre-demographic dividend,1995,15.9771251351,279724256934.77094,570.7276677935,51.5232717438,47.9428143608,49.7034196181,45.6297673367,51.4397541221,2.9304785412,50.3631370911,490118620.0,341526589.0,69.6824355114
Puerto Rico,1995,8.1,42647331000.0,11579.1849969985,78.991,69.951,74.364,25.2011047223,64.3065921088,10.4923031689,51.7145071012,3683103.0,230967.0,6.271
Portugal,1995,10.3,118122007430.012,11781.3618502221,79.0,71.8,75.312195122,17.7599363142,67.2726659221,14.9673977637,51.8305480101,10026176.0,4901898.0,48.891
Paraguay,1995,5.852,9062131475.02318,1978.7151409958,71.396,66.779,69.009,41.0806092093,54.9790269478,3.940363843,49.5121190723,4579806.0,2192307.0,47.869
Palestinian Territory,1995,5.42,3282800000.0,1326.5628573715,71.256,68.006,69.662,48.7586623585,49.1303221519,2.1110154896,49.4190893402,2474666.0,737055.0,29.784
Pacific island small states,1995,6.1384076713,3706127846.17436,1948.7658660006,69.5130078156,64.3565370489,66.7321835632,40.3490709574,56.2682043705,3.3827246722,48.9248763019,1901782.0,1271831.0,66.8756354225
Post-demographic dividend,1995,9.3246364747,24978442351153.3,25095.4253792305,79.5623236499,72.7384216677,76.0584658458,19.1891003713,67.2238953914,13.5870042373,51.0244281335,995338472.0,245519100.0,24.6668953828
French Polynesia,1995,2.822,4186994249.0886097,18850.3149185956,78.017,74.155,76.008,35.2065118541,61.2827416058,3.5107465401,48.6072780807,222118.0,96317.0,43.363
Qatar,1995,2.301,8137911978.021981,15822.5090711554,75.414,73.594,74.25,26.0937150634,72.6939192145,1.2123657221,32.0913195133,514325.0,25727.0,5.002
Romania,1995,12.0,37430162102.612495,1650.049223652,73.4,65.7,69.456097561,20.5007912755,67.4770540711,12.0221546534,51.6793236461,22684270.0,10487165.0,46.231
Russian Federation,1995,15.0,395537185734.854,2665.7797851562,71.59,58.12,64.6907317073,21.163929847,66.9515268528,11.8845433002,53.1017040819,148375787.0,39509505.0,26.628
Rwanda,1995,20.369,1293535193.49248,227.9711478493,41.756,38.147,39.969,52.3793653921,45.7768766881,1.8437579197,52.0868970296,5674118.0,5115955.0,90.163
South Asia,1995,9.6851088451,479585498256.836,376.097216235,61.1306778216,59.8165539726,60.4431972973,38.48808836,57.4892475182,4.0226641218,48.4311567352,1275163648.0,940683441.0,73.7696250221
Saudi Arabia,1995,3.982,143343124165.554,10786.4008952769,72.806,69.825,71.011,41.226488036,56.7200243505,2.0534876135,45.9244373928,13289245.0,2834596.0,21.33
Sudan,1995,13.189,13830369852.313,462.5854492188,56.151,48.362,51.991,46.2765829923,50.7231181889,3.0002988188,49.8451816628,24672143.0,16719818.0,67.768
Senegal,1995,11.326,6326342633.4034,714.9943963573,58.554,55.148,56.839,45.1481679515,51.7065695792,3.1452624693,50.3753856336,8848101.0,5343722.0,60.394
Singapore,1995,4.8,87812540788.42929,24914.8507020358,78.6,74.1,76.2951219512,20.4106435191,73.7518233757,5.8375331052,49.0934519349,3524506.0,0.0,0.0
Solomon Islands,1995,6.161,469443201.503274,1220.1791931113,69.246,64.116,66.381,44.2761028088,52.4166728398,3.3072243514,47.9731450821,384733.0,328316.0,85.336
Sierra Leone,1995,21.967,870740484.065037,208.3520433236,44.282,41.187,42.716,43.3697025181,52.880206854,3.7500906278,50.6484168302,4179179.0,2740329.0,65.571
El Salvador,1995,6.478,8921947100.0,1548.3763038362,71.283,61.355,66.33,39.7822905955,56.7576090128,3.4601003917,51.3680789277,5762131.0,2651272.0,46.012
Somalia,1995,15.753,1534756134.55022,210.6732546105,52.131,49.092,50.6,46.7188706888,50.5555862884,2.7255430228,50.20165389,7285007.0,4995694.0,68.575
Serbia,1995,12.3,17921892655.3672,2349.4064515029,74.861,68.669,71.6894878049,17.9955107091,68.29417363,13.7103156609,52.2758856767,7628264.0,3688189.0,48.349
Sub-Saharan Africa,1995,15.6167634384,479940870989.03296,804.8554091286,51.9748360133,48.2759966307,50.1079839042,45.0402636844,51.9372269633,3.0225093523,50.4509493216,596306946.0,419321287.0,70.3197056704
South Sudan,1995,32.71,14080606755.7446,1375.87731816095,33.587,28.488,30.948,45.8483911329,51.7399370876,2.4116717796,51.4769120194,5225836.0,4396339.0,84.127
Sub-Saharan Africa (excluding high income),1995,15.6156754168,480483604759.225,805.6638251042,51.9782023829,48.278280125,50.1108091437,45.038397042,51.9385783305,3.0230246275,50.4507491849,596382250.0,419359215.0,70.317186282
Small states,1995,8.7836983855,64157845931.9305,4470.5166241373,69.0104452773,63.3185748208,66.0310372014,34.5934343029,59.5678820036,5.8386836935,49.7461989669,14351327.0,7341108.0,51.1528133832
São Tomé and Principe,1995,9.984,103695236.781001,768.7107511843,63.321,58.904,61.056,44.9067793469,50.8473256978,4.2458949553,50.2842951926,134895.0,69294.0,51.369
Suriname,1995,6.975,691590497.737557,1609.8250437321,68.402,62.412,65.337,36.709376393,60.0560281468,3.2345954603,49.8959511739,429606.0,145740.0,33.924
Slovak Republic,1995,9.8,26180022222.2222,4882.5115823823,76.3,68.4,72.2536585366,22.7014004866,66.4600407674,10.8385587461,51.3059918574,5361999.0,2330486.0,43.463
Slovenia,1995,9.5,21367422159.3207,10738.0887611468,77.8,70.3,73.9585365854,18.3353914174,69.4506047246,12.214003858,51.4566212664,1989872.0,982559.0,49.378
Sweden,1995,10.6,267052836695.49896,30254.2972932631,81.45,76.16,78.7404878049,18.8530202116,63.6869778532,17.4600019351,50.5907399735,8826939.0,1427846.0,16.176
Eswatini,1995,9.699,1698989463.99106,1750.7540077378,59.149,53.065,56.148,47.4453942491,50.1476402041,2.4069655468,51.357227797,970433.0,754162.0,77.714
Sint Maarten (Dutch part),1995,3.975,1244899878.5549343,32449.088680005592,74.719,70.243,72.406,26.0103235553,71.131814176,2.8578622687,50.7994460531,31772.0,0.0,0.0
Seychelles,1995,7.0,540733047.733048,7180.6683274866,79.5,65.8,72.4829268293,30.2570863546,62.6395991066,7.1033145388,48.865934516,75304.0,37928.0,50.367
Syrian Arab Republic,1995,4.503,11396706586.8263,779.6991001537,72.44,68.594,70.416,44.2404463193,52.6000080319,3.1595456489,49.4042848363,14616801.0,7293199.0,49.896
Turks and Caicos Islands,1995,6.222,815631333.7497759,24389.699098861,70.399,66.376,68.308,28.741321463,67.3886323622,3.8700461748,48.2261493489,15052.0,3021.0,20.072
Chad,1995,19.195,1445919894.57661,203.964852705,47.713,45.688,46.711,47.9137443251,48.9314738871,3.1547817878,50.644168166,7089064.0,5566829.0,78.527
East Asia & Pacific (IDA & IBRD countries),1995,6.7349746685,1320532703146.51,779.5534354624,71.408083692,66.7611228927,69.0224999338,29.5397321648,64.8960917242,5.564176111,49.2991863407,1693960469.0,1154317917.0,68.1431436197
Europe & Central Asia (IDA & IBRD countries),1995,11.7826347104,925405891242.8339,2113.7827802082,72.2669728261,62.113146296,67.0329617666,25.3226897925,64.6697757732,10.0075344343,52.0308121432,437796116.0,160406824.0,36.819386106
Togo,1995,12.537,1849110468.1956897,419.2203348928,55.341,52.735,54.037,44.0136577408,53.1134828985,2.8728593608,50.2600643144,4410832.0,3056486.0,69.295
Thailand,1995,5.964,169278916592.843,2864.3651571987,75.741,66.544,70.948,26.9329839941,68.2744200514,4.7925959545,50.1514089288,59098232.0,41205651.0,69.724
Tajikistan,1995,10.013,1231561860.39946,207.034457343,62.785,56.115,59.338,44.9037834127,51.4421960384,3.6540205489,51.238874455,5948584.0,4230811.0,71.123
Turkmenistan,1995,7.788,2482228439.7140694,592.2472473211,67.39,60.023,63.684,40.5463967569,55.5674163757,3.8861868673,50.6219453885,4191203.0,2313796.0,55.206
Latin America & Caribbean (IDA & IBRD countries),1995,6.3367645591,1856222698737.1497,3983.8280423505,72.6193675531,66.2641173369,69.3710993077,34.7597768934,60.365069827,4.8751532795,50.3930483824,465939463.0,125850936.0,27.0101472624
Timor-Leste,1995,16.323,262819900.0,302.7369820284,49.731,46.537,48.024,42.9630252498,54.8001402989,2.2368344513,48.2997099566,868146.0,672518.0,77.466
Middle East & North Africa (IDA & IBRD countries),1995,6.2924075538,336976502406.652,1304.4696033659,68.99742823,64.9454395539,66.9355384975,40.8887716372,55.4659321409,3.6452962219,49.2739804867,258324534.0,120612262.0,46.6902081023
Tonga,1995,6.827,208871687.55613697,2084.0278129822,72.204,64.74,68.17,39.9133944295,55.0828390264,5.0037665441,49.4507358444,100225.0,77310.0,77.136
South Asia (IDA & IBRD),1995,9.6851088451,479585498256.836,376.097216235,61.1306778216,59.8165539726,60.4431972973,38.48808836,57.4892475182,4.0226641218,48.4311567352,1275163648.0,940683441.0,73.7696250221
Sub-Saharan Africa (IDA & IBRD countries),1995,15.6156754168,480483604759.225,805.6638251042,51.9782023829,48.278280125,50.1108091437,45.038397042,51.9385783305,3.0230246275,50.4507491849,596382250.0,419359215.0,70.317186282
Trinidad and Tobago,1995,6.503,5329217747.21258,4114.6890847546,71.632,66.701,69.17,30.7685210314,64.574791176,4.6566877926,50.3924581329,1295169.0,582308.0,44.96
Tunisia,1995,4.979,18030876599.3444,1968.1660094437,74.52,69.596,71.988,34.3006858719,61.037356385,4.661957743,49.1775147038,9161258.0,3529466.0,38.526
Turkey,1995,6.229,169319579016.25,2774.6162720285,73.423,66.082,69.609,33.2292106765,61.6910862977,5.0797030258,49.6375709934,61024503.0,23114251.0,37.877
Tuvalu,1995,9.899,11922614.1984666,1284.7644610417,65.139,60.898,63.098,36.17112991,57.6970741958,6.1317958942,51.3362068966,9280.0,5200.0,56.03
Tanzania,1995,14.355,7631431840.49992,258.4183349609,52.576,49.038,50.786,44.5045298769,52.6428623407,2.8526077824,50.0487748333,30383497.0,24141815.0,79.457
Uganda,1995,17.294,5755818842.49246,278.5208356688,48.85,44.287,46.567,49.0537385255,48.0716216885,2.874639786,50.97306315,20665667.0,18010955.0,87.154
Ukraine,1995,15.4,48213856468.5718,933.1917724609,72.54,61.22,66.7419512195,20.621329432,66.0794403016,13.2992302664,53.4122038289,51665539.0,17074944.0,33.049
Uruguay,1995,9.363,19297663096.5506,6050.4863225364,78.273,69.661,73.896,24.6630129427,62.8977814287,12.4392056286,51.3185700311,3189440.0,301657.0,9.458
United States,1995,8.8,7639749000000.0,28690.8757013347,78.9,72.5,75.6219512195,21.7917939129,65.8028464035,12.4053596836,50.611277995,266278000.0,60559606.0,22.743
Uzbekistan,1995,6.4,13350461264.9969,582.5421367403,67.691,61.639,64.646,39.4401182306,56.387693234,4.1721885355,49.7618750384,22917589.0,12895498.0,56.269
Saint Vincent and the Grenadines,1995,6.385,316007407.407407,2795.3630561395,74.155,70.087,72.097,33.6933589863,59.6788960393,6.6277449745,49.0216545184,113047.0,64007.0,56.62
"Venezuela, Bolivarian Republic of",1995,4.766,77389487770.0883,3486.9835063592,74.929,69.484,72.143,36.2112260032,59.5721340542,4.2166399426,49.8901135541,22193821.0,3104028.0,13.986
Virgin Islands (U.S.),1995,5.025,4061380952.3809524,37718.2866289058,75.581,68.609,72.0099756098,27.6434734648,65.2877882791,7.0687382562,51.9467893167,107818.0,10311.0,9.563
Viet Nam,1995,5.924,20736164458.9505,287.8026610286,76.251,66.553,71.384,36.0749134559,58.3588473495,5.5662391946,51.0135289495,72049940.0,56079350.0,77.834
Vanuatu,1995,6.01,249333250.082507,1491.7896700462,70.845,65.6,67.885,45.0389649241,51.8300800239,3.130955052,47.2956479077,167137.0,133435.0,79.836
World,1995,8.9980544259,31149677985790.2,5430.0789738472,68.6467597096,63.8935925426,66.1868812372,32.0662372945,61.4795438868,6.4542188187,49.7590711919,5736505516.0,3166639667.0,55.2224053175
Samoa,1995,5.505,224865731.38190296,1288.104733214,72.536,66.552,69.298,39.8844592872,55.9023431794,4.2131975334,48.1236860647,174571.0,136993.0,78.474
Yemen,1995,9.642,12796345679.0123,764.4146560909,62.3,58.593,60.453,50.9135004192,46.326676407,2.7598231739,49.6982357945,16740058.0,12762620.0,76.24
South Africa,1995,8.382,171735933897.331,3855.6340871567,65.749,58.441,62.262,37.4922163976,58.3180286175,4.1897549849,50.731465274,44541554.0,20272643.0,45.514
Zambia,1995,17.434,3806982678.8936305,433.3126990671,46.875,44.112,45.553,48.2129526933,49.1269711505,2.6600761562,51.7483000623,8785763.0,5525893.0,62.896
Zimbabwe,1995,12.825,7111270700.0,647.9754476678,53.203,47.978,50.531,45.9180032873,50.6142616516,3.4677350611,52.4766235195,10974599.0,7492139.0,68.268
Aruba,1996,6.338,1379888268.15642,16620.9545555513,76.403,70.447,73.448,25.484187457,68.1793277439,6.3364847991,51.5315613771,83021.0,42875.0,51.644
Africa Eastern and Southern,1996,14.8266013315,273531010588.088,747.0697363386,52.9502785861,48.6999104431,50.8193448001,45.1369616362,51.8934052445,2.9696331194,50.7685086164,366138524.0,264770520.0,72.3143028225
Afghanistan,1996,13.627,13265444380.486206,415.57617568227084,54.806,51.722,53.243,49.009638768,48.7272526347,2.2631085973,50.0059673711,17763266.0,13906150.0,78.286
Africa Western and Central,1996,16.6654818867,262600874262.366,1065.6834972202,50.3227036427,47.5018658698,48.8852453236,44.9322274626,51.9752151778,3.0925573595,50.1603306504,246415446.0,163929792.0,66.5257768965
Angola,1996,18.635,7526446605.51712,531.1171368061,47.96,44.118,46.033,45.869337977,51.6185338861,2.5121281369,50.8701060965,14170973.0,7745004.0,54.654
Albania,1996,5.571,3199640815.4163,1009.977110534,77.746,71.669,74.592,31.1232814839,62.4372935331,6.439424983,50.5327392304,3168033.0,1917515.0,60.527
Arab World,1996,7.0530715694,570909722765.544,2193.8733089197,67.5704989066,63.6188436033,65.527777069,40.7582716763,55.8080995771,3.4336287466,48.8842484607,260229121.0,126709771.0,48.6916177406
United Arab Emirates,1996,2.58,73571233996.1863,28323.1650870532,75.343,71.365,72.767,25.1772044885,73.8095384753,1.0132570362,31.2320697392,2597564.0,558658.0,21.507
Argentina,1996,7.541,272149750000.0,7663.2127128747,76.418,70.123,73.307,29.0914748122,61.5662900548,9.342235133,50.7290885749,35513793.0,4131675.0,11.634
Armenia,1996,7.837,1596968946.23708,487.0686244046,73.589,65.82,69.783,31.3496010886,60.7671158591,7.8832830523,52.3266747694,3278735.0,1121950.0,34.219
Antigua and Barbuda,1996,7.257,679111111.111111,9755.6615398367,76.542,71.047,73.829,28.5513169519,63.5426617728,7.9060212752,52.225191059,69612.0,46229.0,66.41
Australia,1996,7.0,401341880620.728,22021.7839065228,81.1,75.2,78.0780487805,21.3921727346,66.6448952032,11.9629320622,50.2603807737,18224767.0,2776179.0,15.233
Austria,1996,10.2,235952581232.12897,29645.9451251491,80.2,73.7,76.8707317073,17.7218144976,67.0266148443,15.2515706581,51.7467089834,7959017.0,3078548.0,38.68
Azerbaijan,1996,6.2,3176507376.31836,409.1855437741,66.564,58.594,62.622,33.242344319,61.6685493595,5.0891063215,52.4129923935,7763000.0,3734314.0,48.104
Burundi,1996,18.599,869033856.317093,143.1567411872,46.321,42.435,44.373,49.6261472788,47.8741844481,2.4996682731,50.7662458451,6070506.0,5620560.0,92.588
Belgium,1996,10.3,279201433224.756,27489.5551770488,80.66,73.88,77.1873170732,17.8604848621,65.995344379,16.1441707588,51.112940178,10156637.0,319832.0,3.149
Benin,1996,12.927,2361116449.39308,369.3943841357,57.085,53.962,55.558,45.9632274343,50.7455618339,3.2912107318,50.7819791992,6391858.0,4022332.0,62.929
Burkina Faso,1996,16.461,2586550595.41013,242.7331713527,50.823,48.313,49.614,47.2194458632,49.6307576735,3.1497964633,50.9049081813,10655942.0,9014181.0,84.593
Bangladesh,1996,9.478,46438484107.5795,371.9179376773,58.62,60.341,59.492,39.57445713,57.0127368192,3.4128060507,48.9530929221,124862179.0,97312588.0,77.936
Bulgaria,1996,14.0,12294964837.6235,1470.1925925068,74.58,67.39,70.8973170732,17.4473954814,67.1619309554,15.3906735631,51.0756207819,8362826.0,2675519.0,31.993
Bahrain,1996,2.766,6938166755.31915,12091.7802188235,75.963,73.182,74.355,31.6734665039,66.0456166929,2.2809168032,40.804445664,573792.0,66646.0,11.615
Bahamas,1996,5.985,3609000000.0,11783.797197226,73.989,67.409,70.71,28.4541643267,65.5465148171,5.9993208562,50.4035681168,306268.0,57640.0,18.82
Bosnia and Herzegovina,1996,8.425,2786045321.63743,718.9337971415,76.205,70.413,73.43,23.480625488,67.0191518164,9.5002226955,52.3240196044,3875246.0,2281357.0,58.87
Belarus,1996,13.1,14756846153.8462,1452.5071047646,74.3,63.0,68.512195122,21.2969120755,65.9082533966,12.7948345279,53.1744402908,10159569.0,3219771.0,31.692
Belize,1996,5.42,850850000.0,4045.6944510484,72.172,67.671,69.806,42.1160617278,54.1475580154,3.7363802568,49.400174028,210310.0,113117.0,53.786
Bermuda,1996,6.9,2695390000.0,45063.6149332085,81.204,75.095,78.225,20.0182234631,69.696387073,10.2853894638,50.0861016836,59813.0,0.0,0.0
Bolivia,1996,10.525,7396949126.35685,922.1132590697,61.885,58.339,60.084,39.0967304334,56.1517544332,4.7515151334,49.7791001848,8021736.0,3234204.0,40.318
Brazil,1996,6.564,850426432991.742,5179.1305200246,71.592,65.376,68.409,32.229452784,63.032549513,4.7379977031,50.2513149172,164202549.0,35628669.0,21.698
Barbados,1996,9.735,2363645403.4703894,9011.7788483872,76.138,70.772,73.546,22.839599136,66.1360703209,11.0243305431,51.7936732461,262284.0,169934.0,64.79
Brunei Darussalam,1996,3.466,7663377277.00351,25692.235637475,75.525,71.15,73.1,32.7469068026,64.6137547335,2.6393384639,45.8022100337,298276.0,91994.0,30.842
Bhutan,1996,9.189,303408345.620078,552.8738914037,61.687,58.986,60.212,41.2628112908,55.4839021217,3.2532865875,48.2744545658,548784.0,431037.0,78.544
Botswana,1996,10.988,4847757217.75815,3156.2686568116,57.032,51.669,54.357,41.4368903467,55.320187198,3.2429224553,51.1134086935,1535914.0,770568.0,50.17
Central African Republic,1996,16.795,1007791127.09913,293.3065753287,48.632,45.242,46.831,45.7049620703,51.7954344704,2.4996034593,49.6422255879,3435965.0,2153938.0,62.688
Canada,1996,7.2,630607994132.7468,21296.9723536904,81.15,75.43,78.2202439024,20.226888614,67.6834394146,12.0896719714,50.5290805771,29610218.0,6528757.0,22.049
Central Europe and the Baltics,1996,11.5200571644,417343085845.115,3806.9650201038,75.5773485999,67.306932528,71.336058019,20.2553876963,67.1516398071,12.5929724966,51.6840806731,109626194.0,42110439.0,38.4127523424
Switzerland,1996,8.9,340103959546.926,48092.6433036512,82.0,75.94,78.896097561,17.6592982619,67.4964950992,14.8442066389,51.1674258232,7071850.0,1866968.0,26.4
Channel Islands,1996,9.6502400314,9103989329.527596,57204.2128736258,80.289,75.46,77.962,17.0422148181,68.5460103734,14.4117748085,51.7761824614,145565.0,101313.0,69.6
Chile,1996,5.337,78584098982.9097,5333.5043872477,78.196,71.641,74.899,28.3211185957,64.2433301838,7.4355512205,50.2304424888,14734046.0,2230587.0,15.139
China,1996,6.56,863749314718.538,709.4158882334,72.503,68.152,70.266,26.9510564784,66.8238954729,6.2250480487,48.9676550991,1217550000.0,828956742.0,68.084
Côte d'Ivoire,1996,14.254,18071152830.610096,1170.2362204967,53.923,49.444,51.52,46.4314313815,51.0825160119,2.4860526066,49.6675627328,15442312.0,9020318.0,58.413
Cameroon,1996,13.756,11093538846.4483,826.9653223274,54.447,51.202,52.82,45.7127570141,50.8420185754,3.4452244105,50.4243722044,13414757.0,7624411.0,56.836
Congo (Kinshasa),1996,16.403,5771454939.62404,127.416088397,51.621,47.075,49.307,44.702979936,52.3989453535,2.8980747105,50.4535962162,45296124.0,30217497.0,66.711
Congo (Brazzaville),1996,12.387,2540697539.05773,898.7940501516,54.13,52.795,53.491,43.1765314972,53.5536578752,3.2698106276,50.2151737752,2826785.0,1220267.0,43.168
Colombia,1996,5.536,97153389010.9466,2664.4562555821,74.5,66.13,70.189,34.0451041193,61.6930198206,4.2618760601,50.2504309604,36462745.0,10128257.0,27.777
Comoros,1996,10.927,396053805.891754,793.5248471605,59.751,57.123,58.344,47.9369153308,47.8729010012,4.190183668,50.8424045345,499107.0,358074.0,71.743
Cape Verde,1996,7.347,501979269.843942,1179.5152270518,67.994,63.097,65.763,44.1882978798,51.0893343453,4.7223677749,51.4212335607,425581.0,214050.0,50.296
Costa Rica,1996,4.019,11678424507.2457,3226.9639559862,79.063,74.657,76.804,33.5877765568,61.2856875618,5.1265358815,50.1379519775,3619013.0,1611655.0,44.533
Caribbean small states,1996,7.3953823628,11182904174.0661,4423.1692415903,70.9787616873,65.054359278,67.9413164509,33.7570192715,60.7572605751,5.4857201534,50.3054088652,2528256.0,1367307.0,54.0810435237
Cuba,1996,7.314,25017368700.0,2282.188093242,77.361,72.656,74.903,22.1036789786,68.8772725075,9.0190485139,49.5371606542,10962010.0,2803424.0,25.574
Curaçao,1996,7.473,2740411613.73253,18541.071647292803,75.388,70.126,72.6928292683,27.6093776287,64.4749906811,7.9156316902,52.8675951522,146306.0,17033.0,11.642
Cayman Islands,1996,3.6,5047127841.8447,82848.08103266988,84.2,80.1,82.1,20.2589110506,74.2553378438,5.4857511056,50.9650587236,34143.0,0.0,0.0
Cyprus,1996,7.805,10011914680.0502,15139.220703125,77.567,73.509,75.522,24.3024319813,65.9538527338,9.7437152849,49.0992741029,880290.0,280276.0,31.839
Czech Republic,1996,10.9,67804105329.8557,6573.1964313636,77.3,70.3,73.7146341463,18.184088232,68.4924565817,13.3234551863,51.3739922425,10315241.0,2629045.0,25.487
Germany,1996,10.8,2506576553158.31,30599.7891048363,79.9,73.6,76.6731707317,16.1528018556,68.306335849,15.5408622954,51.3334615397,81914831.0,21188909.0,25.867
Djibouti,1996,11.152,494004647.73437,761.9436594767,57.936,54.459,56.186,42.172027985,54.6812051553,3.1467668598,50.3245936988,648348.0,153354.0,23.653
Dominica,1996,9.394,292285185.185185,4210.9953203456,74.479,68.106,71.194,31.9168707679,58.9583633482,9.1247658839,50.5625909438,69410.0,24350.0,35.082
Denmark,1996,11.6,187481157845.724,35621.9878051732,78.26,73.05,75.5914634146,17.6379157556,67.2698414689,15.0922427755,50.626811325,5263074.0,789145.0,14.994
Dominican Republic,1996,5.784,18241622547.5908,2270.865586872,71.85,66.475,69.097,36.9616191227,59.0932955852,3.9450852921,49.9313696907,8032894.0,3338390.0,41.559
Algeria,1996,5.188,46941554225.35809,1616.8319872128,70.4,67.134,68.749,38.1868339712,57.8981856346,3.9149803942,48.4357668994,29033044.0,12549824.0,43.226
East Asia & Pacific,1996,6.7552455635,1518329454783.51,873.2895219273,71.5190863031,66.9249871511,69.1663501017,29.0440656859,65.2534562918,5.7024780223,49.3197821395,1738632397.0,1163706992.0,66.932319636
