country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Colombia,1991,5.818,49637993948.8402,1499.711041644,73.296,64.652,68.813,35.5684059692,60.4501354258,3.981458605,50.1009581347,33098372.0,9946392.0,30.051
Comoros,1991,12.498,424108769.50223106,930.9695613761,57.177,55.362,56.194,46.9308932382,48.9835497721,4.0855569897,50.6541457033,455556.0,326333.0,71.634
Cape Verde,1991,8.137,319827058.592875,831.6138876425,66.814,63.215,65.176,45.620615415,49.7343897074,4.6449948776,52.062997613,384586.0,211353.0,54.956
Costa Rica,1991,3.823,7215725487.30549,2253.3819150807,78.49,74.767,76.591,35.734263201,59.6569957429,4.6087410561,49.8641548747,3202176.0,1571724.0,49.083
Caribbean small states,1991,7.6456659592,8639379130.228718,3576.5029761743,70.1247617072,64.5273956269,67.2701421609,34.6688490618,59.9034987623,5.4276521758,50.3555244213,2415594.0,1309678.0,54.2176980138
Cuba,1991,6.962,24316556025.6585,2268.8349324719,76.408,71.984,74.093,22.54673137,69.0247619812,8.4285066489,49.3714241781,10717640.0,2821312.0,26.324
Curaçao,1991,6.932,2740411613.73253,18541.071647292803,74.903,69.918,72.3497073171,27.7528675368,65.2695130816,6.9776193815,52.3676880223,144403.0,21737.0,15.053
Cayman Islands,1991,4.1,5047127841.8447,82848.08103266988,84.2,80.1,82.1,21.7864404917,72.2636428585,5.9499166499,50.8683227083,27294.0,0.0,0.0
Cyprus,1991,8.881,5770197348.48485,9696.099609375,75.478,71.975,73.716,24.686085633,65.5612283214,9.7526860456,49.0571941748,798944.0,262150.0,32.812
Czech Republic,1991,12.1,30071014282.3218,2917.0865547432,75.75,68.23,71.8982926829,20.8552411917,66.4795221743,12.665236634,51.460775063,10308578.0,2560857.0,24.842
Germany,1991,11.4,1875792575132.59,23443.3350818536,78.7,72.1,75.3195121951,16.258055906,68.8398927485,14.9020513455,51.6295142226,80013896.0,21388515.0,26.731
Djibouti,1991,11.816,462421998.52577907,732.7331015538,57.714,52.703,55.156,43.536600052,53.4470410019,3.0163589461,50.3321227333,631092.0,150743.0,23.886
Dominica,1991,10.32,219762962.962963,3171.3657781541,71.873,67.433,69.646,33.1849371902,57.6991622954,9.1159005145,50.7756468534,69296.0,24613.0,35.518
Denmark,1991,11.6,139180507777.691,27002.8057705804,77.98,72.47,75.157804878,16.9618173562,67.4572295274,15.5809531163,50.7115065057,5154298.0,779794.0,15.129
